from,to,weight,in.out
1,63,2,FALSE
2,84,1,FALSE
2,108,1,FALSE
2,309,5,FALSE
2,492,1,FALSE
2,402,1,FALSE
3,114,1,FALSE
4,19,1,FALSE
4,268,2,FALSE
7,266,7,FALSE
7,350,1,FALSE
7,403,1,FALSE
8,24,1,FALSE
8,59,1,TRUE
8,81,1,FALSE
8,82,5,FALSE
8,195,1,TRUE
8,226,1,TRUE
8,377,1,TRUE
9,40,1,TRUE
9,422,6,FALSE
9,62,3,FALSE
9,81,1,FALSE
9,269,2,TRUE
9,273,1,TRUE
9,377,2,TRUE
10,74,2,FALSE
12,42,5,TRUE
12,189,3,TRUE
13,141,1,FALSE
13,157,1,FALSE
14,19,3,FALSE
14,29,29,TRUE
14,129,1,TRUE
14,190,1,FALSE
14,268,6,FALSE
16,19,3,FALSE
16,162,1,TRUE
17,48,2,FALSE
17,210,2,FALSE
17,309,2,FALSE
18,210,1,FALSE
19,16,2,FALSE
19,21,1,FALSE
19,29,1,FALSE
19,63,1,FALSE
19,93,1,FALSE
19,95,2,TRUE
19,99,1,FALSE
19,116,1,FALSE
19,133,1,FALSE
19,151,1,FALSE
19,162,2,FALSE
19,205,4,FALSE
19,268,1,TRUE
19,309,2,FALSE
19,371,3,FALSE
20,63,2,FALSE
20,116,2,FALSE
20,309,6,FALSE
21,19,1,FALSE
21,95,1,FALSE
23,190,2,FALSE
24,414,3,FALSE
24,27,14,FALSE
24,30,1,FALSE
24,33,10,FALSE
24,35,2,FALSE
24,37,14,FALSE
24,40,3,FALSE
24,46,4,FALSE
24,423,1,FALSE
24,48,1,TRUE
24,54,7,FALSE
24,62,3,FALSE
24,72,6,FALSE
24,75,2,FALSE
24,81,8,FALSE
24,88,9,FALSE
24,90,5,FALSE
24,92,18,FALSE
24,97,22,FALSE
24,109,1,FALSE
24,117,14,FALSE
24,121,8,FALSE
24,124,9,FALSE
24,130,5,FALSE
24,139,19,FALSE
24,146,4,FALSE
24,155,2,FALSE
24,157,4,FALSE
24,158,3,FALSE
24,443,4,TRUE
24,445,4,TRUE
24,169,17,FALSE
24,180,1,FALSE
24,188,4,FALSE
24,190,4,FALSE
24,199,24,FALSE
24,204,19,FALSE
24,205,1,FALSE
24,216,40,FALSE
24,220,1,FALSE
24,226,2,FALSE
24,229,1,FALSE
24,256,10,FALSE
24,268,14,FALSE
24,273,4,FALSE
24,277,3,FALSE
24,288,1,FALSE
24,298,2,FALSE
24,311,11,FALSE
24,324,23,FALSE
24,502,4,FALSE
24,377,5,FALSE
24,397,11,FALSE
24,403,5,FALSE
24,404,16,FALSE
26,33,2,FALSE
27,24,19,FALSE
27,74,5,FALSE
27,92,1,FALSE
27,124,1,FALSE
27,134,1,TRUE
27,165,2,TRUE
27,199,3,FALSE
27,248,8,TRUE
27,249,1,FALSE
27,268,1,FALSE
27,397,1,FALSE
28,133,2,TRUE
28,279,1,TRUE
28,306,4,FALSE
29,14,37,TRUE
29,19,1,FALSE
29,26,1,TRUE
29,124,4,FALSE
29,129,2,TRUE
29,171,9,TRUE
29,178,2,TRUE
29,229,10,TRUE
29,268,8,FALSE
30,82,1,FALSE
32,350,1,TRUE
33,24,7,FALSE
33,74,2,FALSE
33,82,10,FALSE
33,88,1,TRUE
33,98,7,FALSE
33,124,1,TRUE
33,129,7,FALSE
33,143,1,FALSE
33,147,5,FALSE
33,155,4,FALSE
33,162,4,FALSE
33,169,2,TRUE
33,171,2,FALSE
33,190,2,FALSE
33,205,8,FALSE
33,229,4,FALSE
33,461,5,FALSE
33,256,1,FALSE
33,307,1,FALSE
33,317,1,FALSE
33,502,1,FALSE
33,522,1,FALSE
34,183,1,FALSE
35,24,2,FALSE
37,24,12,FALSE
37,74,1,FALSE
38,133,1,TRUE
38,303,12,FALSE
38,309,6,FALSE
38,351,2,TRUE
38,400,1,FALSE
40,8,1,TRUE
40,9,3,TRUE
40,24,5,FALSE
40,37,1,FALSE
40,43,1,TRUE
40,62,1,FALSE
40,72,1,FALSE
40,74,17,FALSE
40,81,3,FALSE
40,82,11,FALSE
40,85,1,TRUE
40,199,1,FALSE
40,216,13,TRUE
40,277,1,FALSE
40,377,13,TRUE
40,397,1,FALSE
40,403,1,FALSE
41,171,2,TRUE
42,12,11,TRUE
42,161,1,TRUE
42,261,1,TRUE
43,9,1,TRUE
43,74,1,FALSE
43,81,7,FALSE
43,269,1,TRUE
43,273,11,TRUE
43,377,4,TRUE
44,34,2,FALSE
44,48,1,FALSE
44,309,2,FALSE
46,24,1,FALSE
47,95,3,FALSE
48,17,1,FALSE
48,63,1,FALSE
48,74,1,TRUE
48,95,1,FALSE
48,133,4,FALSE
48,183,2,FALSE
48,205,4,FALSE
48,234,1,FALSE
48,243,3,FALSE
48,263,1,FALSE
48,339,2,FALSE
48,343,2,FALSE
48,352,2,FALSE
48,523,6,TRUE
48,400,3,FALSE
49,63,3,TRUE
49,210,1,FALSE
51,144,1,TRUE
51,277,1,FALSE
51,378,1,FALSE
51,517,1,TRUE
52,133,4,FALSE
52,210,2,FALSE
52,305,1,FALSE
52,343,1,FALSE
54,24,4,FALSE
55,413,1,TRUE
55,184,1,TRUE
55,189,1,TRUE
55,202,1,FALSE
55,203,1,TRUE
55,393,1,FALSE
55,404,4,FALSE
56,97,1,TRUE
56,120,2,TRUE
59,8,1,TRUE
59,74,6,FALSE
59,82,1,FALSE
59,204,1,TRUE
60,64,1,FALSE
60,502,1,FALSE
62,8,1,FALSE
62,9,2,FALSE
62,24,3,FALSE
62,37,1,FALSE
62,40,1,FALSE
62,43,1,FALSE
62,74,3,FALSE
62,82,2,FALSE
62,199,1,FALSE
62,270,1,FALSE
62,294,1,FALSE
62,403,1,FALSE
62,404,4,FALSE
63,1,1,FALSE
63,19,1,FALSE
63,20,1,FALSE
63,48,1,FALSE
63,49,2,TRUE
63,65,1,FALSE
63,116,12,TRUE
63,168,1,TRUE
63,182,3,FALSE
63,210,4,FALSE
63,252,1,FALSE
63,263,1,TRUE
63,309,13,FALSE
63,367,1,TRUE
64,122,2,FALSE
65,63,1,FALSE
65,133,3,FALSE
65,205,2,FALSE
65,210,2,FALSE
65,309,7,FALSE
66,24,1,FALSE
66,43,1,TRUE
66,70,1,FALSE
66,82,1,FALSE
66,88,1,FALSE
66,188,1,FALSE
66,204,1,TRUE
66,273,1,TRUE
66,404,1,FALSE
67,74,1,FALSE
67,397,2,FALSE
69,395,4,FALSE
70,43,2,FALSE
70,66,1,FALSE
70,67,1,FALSE
70,72,1,TRUE
70,81,1,TRUE
70,82,10,FALSE
70,88,2,TRUE
70,121,1,TRUE
70,188,1,TRUE
70,199,1,TRUE
70,204,1,FALSE
70,273,1,FALSE
70,404,1,TRUE
71,82,3,FALSE
71,127,2,FALSE
72,24,7,FALSE
72,43,2,FALSE
72,70,2,TRUE
72,81,2,TRUE
72,82,4,FALSE
72,88,2,TRUE
72,121,2,TRUE
72,199,2,TRUE
73,309,5,FALSE
74,27,2,FALSE
74,40,1,FALSE
74,48,3,TRUE
74,62,3,FALSE
74,75,1,FALSE
74,81,4,FALSE
74,88,1,FALSE
74,90,2,FALSE
74,117,2,FALSE
74,118,1,FALSE
74,124,6,FALSE
74,130,2,FALSE
74,146,13,FALSE
74,199,2,FALSE
74,268,4,FALSE
74,324,2,FALSE
74,502,5,FALSE
74,377,8,FALSE
74,397,5,FALSE
75,24,3,FALSE
75,62,1,FALSE
75,74,1,FALSE
75,82,3,FALSE
75,118,1,FALSE
75,324,1,FALSE
75,403,1,TRUE
80,42,5,FALSE
80,74,8,FALSE
80,345,1,FALSE
80,397,1,FALSE
80,403,1,FALSE
81,8,3,FALSE
81,9,3,FALSE
81,24,11,FALSE
81,40,5,FALSE
81,43,12,FALSE
81,422,1,FALSE
81,70,2,TRUE
81,72,2,TRUE
81,74,16,FALSE
81,82,32,FALSE
81,88,2,TRUE
81,121,2,TRUE
81,163,9,FALSE
81,164,4,FALSE
81,195,5,FALSE
81,199,2,TRUE
81,216,10,FALSE
81,226,3,FALSE
81,237,1,FALSE
81,463,1,FALSE
81,245,1,FALSE
81,273,8,FALSE
81,292,6,FALSE
81,344,2,FALSE
81,350,2,FALSE
81,377,10,FALSE
82,8,7,FALSE
82,33,10,FALSE
82,37,1,FALSE
82,40,8,FALSE
82,43,4,FALSE
82,59,1,FALSE
82,62,3,FALSE
82,66,1,FALSE
82,70,10,FALSE
82,71,1,FALSE
82,72,3,FALSE
82,74,1,TRUE
82,75,6,FALSE
82,81,17,FALSE
82,88,3,FALSE
82,90,1,FALSE
82,91,1,FALSE
82,97,3,FALSE
82,99,3,FALSE
82,117,2,FALSE
82,118,6,FALSE
82,121,3,FALSE
82,123,1,FALSE
82,124,6,FALSE
82,141,4,FALSE
82,148,1,FALSE
82,188,1,FALSE
82,190,4,FALSE
82,195,4,FALSE
82,199,14,FALSE
82,204,7,FALSE
82,216,1,FALSE
82,226,3,FALSE
82,268,4,FALSE
82,273,4,FALSE
82,287,3,FALSE
82,324,6,FALSE
82,360,1,FALSE
82,377,4,FALSE
82,397,4,FALSE
82,522,1,FALSE
82,403,5,FALSE
82,404,6,FALSE
84,309,1,FALSE
85,40,3,TRUE
85,72,3,FALSE
85,74,3,FALSE
85,277,3,FALSE
85,294,1,TRUE
85,377,3,TRUE
85,397,3,FALSE
86,112,1,TRUE
86,207,1,TRUE
88,24,5,FALSE
88,33,1,TRUE
88,43,3,FALSE
88,66,1,FALSE
88,70,3,TRUE
88,72,2,TRUE
88,74,2,FALSE
88,81,2,TRUE
88,82,3,FALSE
88,121,2,TRUE
88,188,1,TRUE
88,199,2,TRUE
88,248,1,FALSE
88,273,1,FALSE
88,404,1,TRUE
89,328,1,FALSE
90,24,11,FALSE
90,74,10,FALSE
90,82,4,FALSE
90,140,2,FALSE
90,141,1,FALSE
90,186,4,FALSE
90,247,1,FALSE
90,298,4,FALSE
90,514,1,FALSE
90,396,1,FALSE
90,519,1,FALSE
91,82,3,FALSE
91,344,1,FALSE
91,521,1,FALSE
91,397,1,TRUE
92,24,12,FALSE
92,27,1,FALSE
92,33,1,FALSE
92,74,1,FALSE
92,82,1,FALSE
92,139,2,FALSE
92,140,1,FALSE
92,141,1,FALSE
92,156,2,FALSE
92,249,2,FALSE
92,320,2,FALSE
92,331,2,FALSE
93,19,1,FALSE
93,371,1,TRUE
95,19,1,TRUE
95,21,1,FALSE
95,47,2,FALSE
95,48,2,FALSE
95,93,2,FALSE
95,116,3,FALSE
95,129,2,FALSE
95,143,2,FALSE
95,181,2,FALSE
95,205,9,FALSE
95,210,2,FALSE
95,213,1,FALSE
95,227,2,FALSE
95,238,2,FALSE
95,268,5,TRUE
95,272,6,FALSE
95,291,1,FALSE
95,309,3,FALSE
95,340,5,FALSE
95,368,6,FALSE
95,371,6,FALSE
96,74,2,FALSE
96,118,2,FALSE
97,24,27,FALSE
97,56,2,TRUE
97,74,3,FALSE
97,81,1,FALSE
97,82,6,FALSE
97,120,1,TRUE
97,155,1,TRUE
97,191,1,FALSE
97,229,13,TRUE
97,268,3,FALSE
97,309,11,FALSE
97,323,1,TRUE
98,33,5,FALSE
98,131,1,TRUE
98,158,6,TRUE
98,171,20,TRUE
98,184,12,TRUE
98,204,9,TRUE
98,238,1,FALSE
99,19,3,FALSE
99,29,1,TRUE
99,33,4,FALSE
99,82,14,FALSE
99,120,7,TRUE
99,124,21,FALSE
99,166,2,TRUE
99,181,3,FALSE
99,238,4,FALSE
99,287,7,TRUE
99,293,5,TRUE
99,327,4,TRUE
100,309,3,FALSE
101,103,4,FALSE
103,101,1,FALSE
108,84,1,TRUE
108,431,1,TRUE
108,492,1,FALSE
108,402,1,TRUE
109,24,1,FALSE
109,85,1,FALSE
109,87,1,FALSE
109,104,1,FALSE
109,113,1,FALSE
109,477,1,FALSE
109,311,1,FALSE
112,64,2,FALSE
112,86,1,TRUE
113,85,1,FALSE
113,87,1,TRUE
113,104,1,TRUE
113,109,1,FALSE
113,477,1,FALSE
113,311,1,FALSE
114,3,2,FALSE
114,77,1,FALSE
114,137,6,FALSE
114,164,7,FALSE
114,225,1,FALSE
114,237,3,FALSE
114,245,3,FALSE
114,325,17,FALSE
114,350,3,FALSE
114,361,2,FALSE
114,509,1,FALSE
115,361,1,FALSE
116,19,5,FALSE
116,20,1,FALSE
116,63,18,TRUE
116,95,4,FALSE
116,99,1,TRUE
116,129,1,TRUE
116,181,7,FALSE
116,182,1,FALSE
116,205,4,FALSE
116,227,1,TRUE
116,291,2,TRUE
116,309,13,FALSE
116,348,1,TRUE
116,368,1,TRUE
116,371,2,TRUE
117,24,9,FALSE
117,74,5,FALSE
117,82,2,FALSE
117,98,1,FALSE
117,254,1,FALSE
117,324,1,TRUE
118,62,1,TRUE
118,74,5,FALSE
118,75,2,FALSE
118,82,5,FALSE
118,96,1,FALSE
118,144,2,FALSE
118,195,2,FALSE
118,199,2,FALSE
118,274,1,FALSE
118,324,2,TRUE
118,494,1,FALSE
118,358,1,FALSE
118,387,1,FALSE
118,520,1,FALSE
118,403,2,FALSE
119,99,1,TRUE
119,130,3,TRUE
119,204,4,TRUE
119,317,1,TRUE
120,56,3,TRUE
120,99,2,TRUE
120,129,24,TRUE
120,143,1,FALSE
120,190,11,FALSE
120,204,8,TRUE
121,24,7,FALSE
121,43,2,FALSE
121,70,2,TRUE
121,72,2,TRUE
121,81,2,TRUE
121,82,4,FALSE
121,88,2,TRUE
121,199,2,TRUE
122,64,6,FALSE
123,82,1,FALSE
123,515,1,FALSE
124,24,8,FALSE
124,27,3,FALSE
124,29,3,FALSE
124,33,1,TRUE
124,74,24,FALSE
124,82,9,FALSE
124,98,1,FALSE
124,99,12,FALSE
124,144,2,FALSE
124,151,1,FALSE
124,155,17,FALSE
124,165,3,FALSE
124,166,1,FALSE
124,169,6,TRUE
124,171,5,FALSE
124,178,1,FALSE
124,190,8,FALSE
124,193,2,FALSE
124,229,2,FALSE
124,247,1,FALSE
124,255,3,FALSE
124,256,9,FALSE
124,268,14,TRUE
124,287,5,FALSE
124,293,1,FALSE
124,307,5,FALSE
124,323,1,FALSE
124,327,10,FALSE
124,333,1,FALSE
124,522,14,FALSE
125,315,2,TRUE
125,386,3,TRUE
127,71,2,FALSE
127,502,1,FALSE
129,14,2,TRUE
129,29,3,TRUE
129,33,7,FALSE
129,120,1,TRUE
129,155,1,TRUE
129,166,1,TRUE
129,191,1,FALSE
129,205,1,FALSE
129,268,2,FALSE
129,293,9,TRUE
130,24,7,FALSE
130,33,1,FALSE
130,74,7,FALSE
130,119,5,TRUE
130,165,2,TRUE
130,178,2,TRUE
130,190,3,FALSE
130,205,3,FALSE
130,229,1,TRUE
130,268,2,FALSE
130,291,1,TRUE
130,293,5,TRUE
130,307,1,TRUE
130,317,2,TRUE
131,248,3,TRUE
133,19,2,FALSE
133,48,2,FALSE
133,52,4,FALSE
133,65,3,FALSE
133,434,3,TRUE
133,136,4,TRUE
133,182,5,FALSE
133,210,2,FALSE
133,217,1,TRUE
133,234,2,FALSE
133,252,1,FALSE
133,263,1,TRUE
133,306,1,FALSE
133,309,4,FALSE
133,310,1,TRUE
134,27,1,TRUE
136,133,4,TRUE
136,177,3,FALSE
136,210,3,FALSE
136,242,4,TRUE
136,303,3,FALSE
136,309,4,FALSE
136,326,3,FALSE
136,338,2,TRUE
136,351,20,TRUE
136,352,2,FALSE
136,379,3,FALSE
136,400,1,FALSE
137,406,1,FALSE
137,408,1,FALSE
137,409,1,FALSE
137,410,1,FALSE
137,411,1,FALSE
137,420,1,FALSE
137,426,1,FALSE
137,427,1,FALSE
137,428,1,TRUE
137,430,1,TRUE
137,432,1,TRUE
137,436,1,FALSE
137,438,1,TRUE
137,439,1,TRUE
137,155,1,TRUE
137,451,1,TRUE
137,454,1,TRUE
137,456,1,FALSE
137,457,1,TRUE
137,459,1,TRUE
137,462,1,FALSE
137,466,1,TRUE
137,260,1,TRUE
137,472,1,TRUE
137,277,1,FALSE
137,480,1,TRUE
137,482,1,TRUE
137,334,1,TRUE
137,495,1,TRUE
137,496,1,TRUE
137,497,1,TRUE
137,498,1,FALSE
137,503,1,TRUE
137,507,1,TRUE
137,508,1,TRUE
137,511,1,TRUE
137,513,1,TRUE
137,516,1,FALSE
137,518,1,TRUE
139,24,23,FALSE
139,74,13,FALSE
139,82,1,FALSE
139,170,1,FALSE
140,90,2,FALSE
140,92,1,FALSE
140,141,15,FALSE
141,13,1,FALSE
141,82,7,FALSE
141,90,1,FALSE
141,92,1,FALSE
141,140,8,FALSE
141,156,1,FALSE
141,186,2,FALSE
141,249,1,FALSE
142,210,1,FALSE
142,309,1,FALSE
143,33,3,FALSE
143,94,1,FALSE
143,95,3,FALSE
143,120,1,FALSE
143,147,3,FALSE
143,229,8,FALSE
143,238,2,FALSE
143,268,1,FALSE
143,368,1,FALSE
144,124,1,FALSE
145,266,1,TRUE
146,24,3,FALSE
146,74,16,FALSE
147,33,3,FALSE
147,190,3,FALSE
147,315,1,FALSE
148,82,1,FALSE
148,374,1,FALSE
149,208,1,TRUE
150,154,5,FALSE
151,19,2,FALSE
151,256,1,FALSE
151,490,1,FALSE
152,54,1,TRUE
152,188,1,FALSE
152,198,1,FALSE
152,209,1,TRUE
152,221,12,TRUE
152,241,1,TRUE
152,265,1,FALSE
152,477,1,FALSE
152,353,3,TRUE
153,197,1,FALSE
154,150,6,FALSE
155,405,1,FALSE
155,406,1,FALSE
155,409,1,FALSE
155,410,1,FALSE
155,411,1,FALSE
155,24,1,FALSE
155,420,1,FALSE
155,33,6,FALSE
155,426,1,FALSE
155,427,1,FALSE
155,428,1,TRUE
155,430,1,TRUE
155,97,3,TRUE
155,432,1,TRUE
155,124,21,FALSE
155,129,1,TRUE
155,436,1,FALSE
155,438,1,TRUE
155,439,1,TRUE
155,190,16,FALSE
155,191,8,FALSE
155,205,1,FALSE
155,451,1,TRUE
155,454,1,TRUE
155,456,1,FALSE
155,457,1,TRUE
155,229,4,TRUE
155,459,1,TRUE
155,462,1,FALSE
